City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
258,labytnangi,66.6572,66.4183,255.74,97,100,2.79,RU,1707094537
259,pisco,-13.7,-76.2167,298.18,78,75,7.2,PE,1707094451
260,thompson,55.7435,-97.8558,267.24,93,100,3.09,CA,1707094538
261,vrangel',42.7297,133.0839,263.81,53,100,1.48,RU,1707095101
262,pujehun,7.3581,-11.7208,297.31,92,91,0.78,SL,1707095101
263,tolanaro,-25.0319,46.9987,297.19,88,75,9.26,MG,1707094450
264,lundazi,-12.2929,33.1782,291.68,95,95,1.01,ZM,1707095103
265,inhambane,-23.865,35.3833,297.82,88,2,1.86,MZ,1707094526
266,kindu,-2.95,25.95,295.65,90,100,1.03,CD,1707095104
267,leava,-14.3,-178.1667,301.82,75,100,3.43,WF,1707094530
268,atafu village,-8.5421,-172.5159,302.22,78,100,9.81,TK,1707094521
269,selfoss,63.9331,-20.9971,262.06,81,98,4.43,IS,1707094489
270,ghat,24.9647,10.1728,282.08,40,0,0.99,LY,1707095106
271,an nimas,19.1455,42.1201,282.53,89,74,1.84,SA,1707095107
272,port hedland,-20.3167,118.5667,303.18,74,100,5.66,AU,1707094721
273,santo antonio do ica,-3.1022,-67.9397,296.5,98,100,0.7,BR,1707094904
274,comodoro rivadavia,-45.8667,-67.5,307.07,8,0,7.2,AR,1707094854
275,st. john's,47.5649,-52.7093,274.64,97,100,10.29,CA,1707094328
276,hammerfest,70.6634,23.6821,269.4,80,37,8.75,NO,1707094462
277,yuzhno-kurilsk,44.0306,145.8556,268.91,71,100,8.42,RU,1707094676
278,camiri,-20.05,-63.5167,298.25,46,7,1.5,BO,1707095111
279,aden,12.7794,45.0367,297.84,73,100,3.44,YE,1707094824
280,ixtapa,20.7,-105.2,292.65,63,0,1.39,MX,1707094827
281,al ain city,24.1917,55.7606,285.94,67,0,2.06,AE,1707094910
282,viedma,-40.8135,-62.9967,293.31,51,36,8.25,AR,1707094853
283,khatra,22.9833,86.85,290.22,41,8,2.72,IN,1707095115
284,ha tinh,18.3333,105.9,295.68,91,44,1.42,VN,1707095116
285,cotonou,6.3654,2.4183,299.07,82,26,2.67,BJ,1707095117
286,cosala,24.4125,-106.6908,292.53,31,0,1.18,MX,1707095117
287,forbes,-33.3833,148.0167,303.1,66,100,2.31,AU,1707095118
288,yreka,41.7354,-122.6345,278.25,86,100,2.06,US,1707095119
289,ocean grove,40.2121,-74.0065,279.26,74,0,1.54,US,1707095119
290,kurumkan,54.3,110.3,254.33,87,17,1.79,RU,1707094946
291,angaur state,6.906,134.13,300.62,83,100,7.94,PW,1707095121
292,ostersund,63.1792,14.6357,265.4,93,75,5.14,SE,1707095122
293,priargunsk,50.3691,119.1012,246.73,94,100,0.86,RU,1707095122
294,susa,35.8254,10.637,283.03,93,0,0.51,TN,1707095123
295,isangel,-19.55,169.2667,303.21,84,75,3.09,VU,1707095124
296,mukalla,14.5425,49.1242,295.96,76,30,1.39,YE,1707095124
297,kalemie,-5.9475,29.1947,294.87,86,99,1.42,CD,1707095125
298,chacabuco,-34.6417,-60.4739,297.49,43,100,4.48,AR,1707095021
299,paragominas,-2.9667,-47.4833,296.13,97,8,1.17,BR,1707094857
300,okha,53.5739,142.9478,252.62,93,17,6.46,RU,1707095127
301,deba,10.2086,11.3859,294.42,22,95,3.6,NG,1707095128
302,constantia,44.1833,28.65,277.53,80,100,6.99,RO,1707095083
303,lompoc,34.6391,-120.4579,289.0,84,100,9.26,US,1707094550
304,touros,-5.1989,-35.4608,300.4,75,5,6.14,BR,1707094539
305,gamba,-2.65,10.0,299.08,88,100,2.73,GA,1707095130
306,lucapa,-8.4192,20.7447,292.64,97,100,1.42,AO,1707095130
307,verkhnevilyuysk,63.4453,120.3167,236.19,100,29,0.64,RU,1707095131
308,al burayqah,30.4062,19.5739,288.76,65,100,4.8,LY,1707095132
309,la ronge,55.1001,-105.2842,266.29,73,100,1.54,CA,1707094550
310,castillos,-34.1667,-53.8333,291.41,73,6,3.26,UY,1707094540
311,yanacancha,-10.2411,-76.6456,280.74,90,100,2.44,PE,1707095134
312,bikenibeu village,1.3673,173.1241,304.13,79,75,4.63,KI,1707094619
313,susuman,62.7833,148.1667,247.58,89,100,1.34,RU,1707094548
314,alabat,14.1028,122.0153,299.01,84,7,3.95,PH,1707095136
315,grand falls-windsor,48.9332,-55.6649,273.43,94,100,3.58,CA,1707095135
316,nguruka,-5.1092,31.0419,291.69,96,99,0.64,TZ,1707095138
317,ruovesi,61.9858,24.0571,266.27,97,100,2.0,FI,1707095138
318,krong kep,10.4833,104.3167,297.13,77,13,1.66,KH,1707095139
319,sainte-marie,-20.8968,55.5496,295.24,78,20,1.54,RE,1707095139
320,utrik,11.2278,169.8474,299.16,74,76,7.62,MH,1707095140
321,colonia,50.9333,6.95,285.27,81,100,9.26,DE,1707094388
322,buncrana,55.1333,-7.45,283.5,84,100,11.53,IE,1707095142
323,banfora,10.6333,-4.7667,298.85,16,100,2.94,BF,1707095143
324,natal,-5.795,-35.2094,299.27,89,20,2.57,BR,1707095026
325,hakha,22.65,93.6167,280.16,65,0,1.26,MM,1707095144
326,dapa,9.7594,126.0531,299.76,77,64,4.25,PH,1707095145
327,boguchany,58.3814,97.4531,265.66,94,100,3.09,RU,1707094552
328,la mira,18.035,-102.3266,296.65,68,0,3.17,MX,1707095146
329,xai-xai,-25.0519,33.6442,296.97,90,43,1.62,MZ,1707095146
330,talcahuano,-36.7167,-73.1167,288.97,88,75,5.14,CL,1707095147
331,chita,52.0333,113.55,244.24,75,20,0.0,RU,1707095148
332,gering,41.8258,-103.6605,278.22,60,0,2.57,US,1707095148
333,saldanha,-33.0117,17.9442,294.18,87,100,3.36,ZA,1707094488
334,tralee,52.2704,-9.7026,282.92,86,91,4.97,IE,1707094441
335,chegdomyn,51.1167,133.0167,248.38,93,55,0.6,RU,1707094667
336,uliastay,47.7417,96.8444,249.71,81,63,3.23,MN,1707094890
337,xining,36.6167,101.7667,261.14,77,4,0.83,CN,1707095151
338,lazaro cardenas,17.9583,-102.2,297.3,67,0,3.75,MX,1707095152
339,ust'-barguzin,53.45,108.9833,250.8,96,67,1.12,RU,1707094737
340,kijang,35.2442,129.2139,280.0,90,100,12.05,KR,1707095153
341,fale old settlement,-9.3852,-171.2468,302.79,76,100,10.58,TK,1707094731
342,shahritus,37.2637,68.1385,275.97,83,96,2.01,TJ,1707095154
343,punta cana,18.5818,-68.4043,299.02,83,20,3.09,DO,1707095155
344,balabac,7.9868,117.0645,300.98,77,100,6.7,PH,1707095156
345,progreso,21.2833,-89.6667,297.21,82,0,4.56,MX,1707095156
346,zapala,-38.8992,-70.0544,296.25,19,0,3.53,AR,1707095157
347,mount pearl,47.5166,-52.7813,274.18,97,100,10.29,CA,1707094779
348,vicar,36.8316,-2.6427,281.26,57,3,0.43,ES,1707095158
349,madinat ash shamal,26.1293,51.2009,290.61,52,57,6.79,QA,1707095159
350,gladstone,-23.85,151.25,304.11,48,98,3.6,AU,1707094891
351,luderitz,-26.6481,15.1594,291.04,90,0,2.42,NA,1707094646
352,muniz,26.2565,-98.0894,297.27,16,0,5.66,US,1707095162
353,bandarbeyla,9.4942,50.8122,298.47,74,100,7.1,SO,1707095162
354,pak phanang,8.3511,100.202,295.16,86,74,1.21,TH,1707095163
355,klaksvik,62.2266,-6.589,272.66,53,100,4.54,FO,1707095164
356,kone,-21.0595,164.8658,303.47,71,99,3.75,NC,1707094478
357,makurazaki,31.2667,130.3167,288.2,84,99,13.72,JP,1707094662
358,pochinok,54.4068,32.4407,270.22,99,100,1.51,RU,1707095166
359,bay roberts,47.5999,-53.2648,274.85,96,100,7.15,CA,1707095086
360,chiguayante,-36.9167,-73.0167,287.44,88,75,5.14,CL,1707095167
361,quellon,-43.1167,-73.6167,288.42,76,2,3.35,CL,1707094669
362,kirensk,57.7853,108.1119,254.24,100,89,1.34,RU,1707095169
363,castelnovo ne'monti,44.4356,10.4033,281.9,81,22,3.17,IT,1707095169
364,sodankyla,67.4167,26.6,261.83,92,100,4.02,FI,1707095170
365,uturoa,-16.7333,-151.4333,300.73,78,100,5.07,PF,1707094596
366,salekhard,66.53,66.6019,254.88,98,100,2.93,RU,1707094655
367,sanctuary point,-35.1114,150.629,302.58,62,100,2.08,AU,1707095172
